Company,Model,Engine Type,Engine Capacity,HorsePower,Top Speed (km/h),0-100 km/h (s),Price ($),Fuel Type,Seats,Torque (Nm),Transmission,Drive,Year,Fuel Efficiency (L/100km)
Audi,Leaf,Hybrid,4.0L,1073,316,10.9,271017,Hybrid,5,1472,Dual Clutch,RWD,2024,4.3
Peugeot,Focus,Diesel,1.2L,488,219,9.6,250020,Hybrid,4,277,Single Speed,AWD,2017,14.6
Tesla,Defender,Diesel,1.5L,488,324,2.8,64892,Diesel,4,946,Single Speed,AWD,2016,9.0
Peugeot,Leaf,Diesel,100 kWh,191,166,8.0,196593,Hybrid,2,586,Dual Clutch,FWD,2018,6.8
Volvo,CX-5,Electric,100 kWh,501,334,10.0,229992,Petrol,4,1370,Automatic,RWD,2023,7.7
Kia,Defender,Hybrid,82 kWh,113,353,2.7,295064,Petrol,5,1377,Dual Clutch,RWD,2018,6.1
Volvo,Model X,Hybrid,4.0L,450,253,7.7,293846,Diesel,2,599,Automatic,AWD,2019,18.3
Nissan,Defender,Petrol,4.0L,214,381,10.6,271216,Electric,4,640,Dual Clutch,FWD,2022,5.9
BMW,Ioniq 6,Electric,3.0L,432,263,7.0,279038,Petrol,2,1475,Single Speed,AWD,2016,18.0
Mercedes,Taycan,Diesel,2.0L,1143,215,2.5,174359,Hybrid,2,112,Manual,FWD,2017,12.7
Kia,Taycan,Electric,2.0L,1158,335,2.6,273771,Petrol,7,250,Automatic,FWD,2020,17.7
Renault,Tiguan,Hybrid,82 kWh,424,183,6.5,140702,Petrol,2,1173,Manual,FWD,2021,11.1
Mercedes,E-Class,Hybrid,100 kWh,869,325,4.0,88527,Petrol,2,1338,Single Speed,AWD,2018,18.8
BMW,Focus,Petrol,3.0L,895,385,8.8,161511,Electric,4,1090,Dual Clutch,FWD,2015,6.6
Volkswagen,Camry,Petrol,3.0L,467,223,9.2,240692,Hybrid,5,743,Single Speed,AWD,2021,12.4
Renault,Civic,Hybrid,3.0L,949,346,4.2,173731,Diesel,5,471,Manual,AWD,2023,5.1
Land Rover,F-Type,Diesel,82 kWh,532,290,10.9,250311,Petrol,4,1236,Single Speed,RWD,2015,10.6
Chevrolet,Focus,Diesel,2.0L,877,295,6.7,213937,Hybrid,5,351,Single Speed,AWD,2015,12.7
Tesla,Corolla,Electric,100 kWh,256,155,3.9,214378,Hybrid,2,1464,Dual Clutch,AWD,2015,13.3
Kia,Passat,Hybrid,3.0L,801,304,9.8,71697,Diesel,7,152,Manual,RWD,2024,9.2
Ferrari,Model X,Hybrid,100 kWh,498,284,10.0,85382,Petrol,2,1253,Manual,RWD,2021,4.3
Ferrari,Mustang,Diesel,1.2L,927,176,8.6,293795,Electric,2,292,Manual,RWD,2023,14.1
Volvo,E-Class,Diesel,4.0L,306,184,10.6,195116,Hybrid,7,690,Automatic,FWD,2017,11.3
Honda,E-Class,Hybrid,4.0L,840,345,9.5,29633,Diesel,4,1180,Single Speed,FWD,2022,5.3
Toyota,Chiron,Petrol,100 kWh,827,201,10.9,94164,Electric,2,196,Manual,RWD,2023,18.9
BMW,Passat,Hybrid,1.5L,205,158,6.6,277713,Hybrid,2,297,Single Speed,FWD,2017,19.2
Ferrari,i8,Hybrid,1.5L,861,146,9.6,138425,Petrol,4,246,Dual Clutch,RWD,2017,17.6
Mazda,Model S,Diesel,82 kWh,240,388,12.0,265220,Hybrid,2,1418,Dual Clutch,FWD,2015,17.3
Hyundai,Tiguan,Diesel,82 kWh,228,256,9.4,195160,Electric,2,822,Automatic,AWD,2016,4.7
Hyundai,Model S,Petrol,4.0L,270,207,3.6,219249,Electric,5,783,Automatic,FWD,2021,19.9
Land Rover,Camry,Petrol,1.2L,1031,173,7.4,220538,Petrol,4,1135,Dual Clutch,FWD,2017,9.8
Nissan,Leaf,Electric,2.0L,652,333,8.1,212865,Petrol,2,432,Manual,AWD,2021,5.8
Nissan,Civic,Hybrid,2.0L,945,194,4.2,216466,Diesel,2,1343,Dual Clutch,RWD,2019,16.8
Tesla,Q7,Diesel,82 kWh,440,181,11.6,202223,Petrol,7,1521,Single Speed,FWD,2024,6.8
Peugeot,Sportage,Petrol,1.2L,172,370,4.2,126174,Diesel,7,1465,Automatic,FWD,2022,11.9
Ferrari,Corolla,Electric,82 kWh,1071,149,4.2,152980,Electric,7,611,Automatic,AWD,2019,5.2
Ferrari,E-Class,Electric,2.0L,1045,267,11.2,83447,Electric,2,271,Dual Clutch,AWD,2017,11.1
Tesla,i8,Diesel,100 kWh,867,318,6.9,220599,Hybrid,2,1591,Manual,AWD,2023,12.5
Volvo,Passat,Diesel,82 kWh,727,332,3.1,241301,Hybrid,7,1289,Manual,AWD,2021,10.6
Suzuki,F-Type,Electric,3.0L,951,231,8.2,294778,Diesel,5,1293,Single Speed,RWD,2019,4.2
Geely,Model S,Petrol,100 kWh,802,370,8.2,70063,Petrol,5,663,Automatic,FWD,2021,11.2
Suzuki,E-Class,Electric,82 kWh,492,217,3.1,34340,Petrol,5,611,Dual Clutch,FWD,2024,11.0
BMW,Tiguan,Hybrid,4.0L,641,224,11.7,77781,Hybrid,5,1312,Dual Clutch,FWD,2023,7.4
Suzuki,F-Type,Hybrid,82 kWh,240,169,7.7,292045,Electric,4,1243,Automatic,FWD,2019,18.7
Volvo,Defender,Diesel,4.0L,242,352,7.8,25638,Diesel,7,204,Dual Clutch,RWD,2021,10.1
Volkswagen,Passat,Petrol,1.2L,732,188,7.4,232986,Electric,2,773,Automatic,FWD,2023,17.7
Honda,Civic,Petrol,2.0L,522,284,8.3,236668,Electric,7,906,Manual,RWD,2015,4.9
Mercedes,Leaf,Hybrid,100 kWh,419,208,5.0,40378,Petrol,5,1164,Manual,RWD,2018,8.4
Audi,Focus,Electric,100 kWh,563,197,5.2,133171,Diesel,2,988,Dual Clutch,AWD,2015,6.0
Ford,Ioniq 6,Diesel,1.5L,689,324,7.4,229801,Electric,4,975,Manual,AWD,2022,9.9
Mercedes,RX 500h,Electric,1.5L,1097,201,10.2,79377,Hybrid,7,776,Manual,FWD,2017,4.9
Volvo,E-Class,Electric,2.0L,1186,305,3.0,275339,Hybrid,2,420,Single Speed,RWD,2016,10.5
Tesla,X5,Electric,1.5L,988,310,8.2,69691,Petrol,2,434,Automatic,AWD,2018,9.0
Ferrari,A6,Petrol,100 kWh,75,202,10.2,106782,Hybrid,5,1283,Automatic,RWD,2017,6.8
Tesla,F-Type,Hybrid,82 kWh,357,286,4.0,274896,Hybrid,5,363,Dual Clutch,AWD,2019,13.9
Renault,Mustang,Petrol,1.2L,677,300,2.6,93343,Electric,7,964,Automatic,RWD,2022,19.2
Lexus,Chiron,Hybrid,1.2L,526,280,5.5,136399,Hybrid,4,451,Single Speed,FWD,2024,6.5
Renault,A6,Diesel,2.0L,1099,236,8.1,46357,Hybrid,2,1333,Dual Clutch,FWD,2022,15.1
Toyota,Civic,Diesel,1.5L,693,360,3.8,85283,Electric,5,1505,Dual Clutch,RWD,2021,15.6
Geely,Model X,Electric,82 kWh,445,182,6.5,74567,Petrol,7,775,Automatic,AWD,2022,11.5
Tesla,Mustang,Hybrid,1.2L,516,247,7.7,252778,Petrol,5,1018,Manual,AWD,2019,18.3
Ferrari,E-Class,Hybrid,1.2L,904,234,8.2,156758,Diesel,7,104,Manual,FWD,2024,19.4
Nissan,Model S,Hybrid,3.0L,1199,210,5.1,76606,Hybrid,5,133,Manual,FWD,2024,9.2
Audi,Civic,Electric,3.0L,880,358,6.3,296035,Electric,4,1268,Manual,FWD,2020,14.1
BMW,Leaf,Electric,100 kWh,1189,160,9.9,116732,Diesel,2,450,Single Speed,AWD,2022,14.3
Audi,Ioniq 6,Diesel,1.2L,1028,231,11.4,206791,Petrol,5,682,Dual Clutch,AWD,2015,9.9
BMW,Focus,Petrol,2.0L,918,266,10.7,264465,Petrol,2,564,Manual,FWD,2020,8.4
Lexus,Taycan,Hybrid,4.0L,878,219,7.9,239589,Electric,7,447,Single Speed,RWD,2020,18.9
BYD,E-Class,Hybrid,4.0L,1048,377,6.4,29026,Diesel,4,224,Dual Clutch,AWD,2019,16.4
Ferrari,Focus,Petrol,82 kWh,485,321,5.7,297566,Diesel,2,1394,Automatic,FWD,2018,4.9
Volvo,X5,Hybrid,1.2L,795,164,3.7,124384,Electric,5,456,Automatic,RWD,2015,5.0
Suzuki,Elantra,Electric,1.2L,523,295,3.5,267771,Electric,2,626,Single Speed,AWD,2024,18.7
Mercedes,Tiguan,Electric,100 kWh,219,144,9.0,73031,Diesel,2,597,Dual Clutch,RWD,2022,4.4
Kia,Leaf,Hybrid,1.2L,828,259,5.0,83232,Petrol,7,1276,Manual,RWD,2020,14.7
Tesla,RX 500h,Electric,2.0L,848,157,4.9,158084,Hybrid,4,152,Dual Clutch,AWD,2017,6.9
Honda,Elantra,Electric,3.0L,1042,337,12.0,251503,Petrol,4,248,Manual,FWD,2017,3.6
BMW,E-Class,Hybrid,1.2L,832,196,4.3,102695,Electric,2,602,Single Speed,RWD,2020,4.0
Ferrari,Tiguan,Diesel,1.2L,1071,232,3.9,145066,Diesel,2,969,Manual,FWD,2021,9.3
Mazda,Taycan,Petrol,100 kWh,145,158,3.4,153982,Diesel,7,1573,Single Speed,AWD,2022,4.3
Peugeot,F-Type,Electric,1.5L,668,332,8.0,279837,Hybrid,2,318,Dual Clutch,RWD,2019,13.1
Geely,Corolla,Diesel,100 kWh,294,376,8.5,130313,Diesel,7,1400,Dual Clutch,RWD,2024,14.0
Land Rover,Civic,Electric,100 kWh,182,366,6.0,43810,Hybrid,4,551,Manual,RWD,2020,9.3
Geely,Focus,Electric,2.0L,320,372,7.6,35092,Petrol,4,1551,Dual Clutch,RWD,2015,15.6
Lexus,RX 500h,Petrol,82 kWh,910,179,10.0,73105,Petrol,7,182,Manual,RWD,2020,11.3
Ford,Ioniq 6,Electric,1.2L,783,292,10.3,176577,Diesel,2,1341,Dual Clutch,AWD,2023,10.3
Ford,Civic,Petrol,100 kWh,1176,266,11.6,219300,Diesel,4,837,Automatic,RWD,2024,9.9
Porsche,F-Type,Petrol,100 kWh,194,376,10.3,86934,Electric,5,626,Manual,AWD,2018,10.3
Peugeot,Tiguan,Petrol,1.5L,1162,194,7.9,87788,Electric,7,503,Single Speed,FWD,2024,19.5
Geely,E-Class,Diesel,100 kWh,1140,311,4.2,295083,Diesel,4,389,Automatic,AWD,2015,14.6
Mercedes,Tiguan,Hybrid,4.0L,953,248,3.4,170223,Diesel,4,519,Single Speed,RWD,2023,8.4
Toyota,Corolla,Diesel,82 kWh,99,323,3.0,143068,Petrol,4,438,Dual Clutch,FWD,2018,15.5
BYD,Leaf,Hybrid,1.2L,350,337,8.8,15036,Diesel,5,876,Automatic,AWD,2016,8.6
BMW,Focus,Hybrid,1.2L,993,226,10.2,54051,Electric,5,810,Dual Clutch,AWD,2015,5.1
Jaguar,F-Type,Petrol,1.5L,437,340,7.3,95738,Petrol,5,1086,Manual,AWD,2017,11.1
BMW,Camry,Electric,2.0L,564,350,3.0,75071,Hybrid,2,1058,Single Speed,RWD,2021,15.8
Hyundai,Sportage,Petrol,1.2L,1118,257,7.6,145613,Electric,7,1542,Dual Clutch,RWD,2024,9.4
Ferrari,Mustang,Electric,4.0L,787,330,11.4,88601,Electric,2,1330,Single Speed,AWD,2016,17.8
Peugeot,X5,Hybrid,1.2L,1086,181,8.2,44873,Petrol,5,785,Single Speed,AWD,2023,9.6
Audi,Defender,Petrol,4.0L,675,181,10.2,182720,Hybrid,7,1388,Dual Clutch,FWD,2016,8.9
Tesla,Defender,Electric,82 kWh,444,156,10.1,86468,Electric,2,1159,Manual,RWD,2019,20.0
Honda,RX 500h,Diesel,82 kWh,708,397,11.4,211201,Diesel,2,472,Single Speed,RWD,2022,11.2
Honda,RX 500h,Electric,3.0L,1118,202,9.8,23328,Electric,2,1382,Dual Clutch,FWD,2024,16.7
Mazda,Model S,Petrol,3.0L,185,201,9.6,152405,Petrol,5,1093,Manual,AWD,2022,16.7
Lexus,Ioniq 6,Diesel,4.0L,117,239,4.7,266519,Petrol,4,630,Dual Clutch,AWD,2017,18.7
BYD,Elantra,Electric,2.0L,168,158,3.1,136173,Petrol,7,1023,Manual,FWD,2016,4.4
Ford,Passat,Electric,1.2L,474,156,7.4,61638,Electric,5,122,Single Speed,AWD,2023,7.6
Tesla,Q7,Electric,100 kWh,754,385,3.7,288412,Hybrid,7,203,Automatic,AWD,2017,16.1
Nissan,Leaf,Electric,1.2L,972,390,11.6,216675,Diesel,5,340,Dual Clutch,FWD,2022,12.6
Hyundai,Elantra,Electric,3.0L,572,220,5.3,128920,Petrol,2,1104,Single Speed,FWD,2016,12.5
Suzuki,RX 500h,Diesel,100 kWh,963,178,10.6,186813,Hybrid,2,1002,Dual Clutch,FWD,2017,5.8
Honda,Taycan,Hybrid,4.0L,327,175,6.2,22887,Diesel,4,1376,Dual Clutch,AWD,2015,7.8
Lexus,Taycan,Diesel,100 kWh,913,336,5.6,243978,Petrol,4,1265,Manual,FWD,2020,11.9
BYD,Tiguan,Diesel,1.2L,190,297,11.4,39918,Diesel,7,913,Dual Clutch,AWD,2021,7.7
Tesla,E-Class,Diesel,1.2L,879,343,6.0,207081,Diesel,4,754,Manual,RWD,2018,6.6
BMW,Mustang,Hybrid,2.0L,1047,335,6.2,289073,Hybrid,4,1574,Single Speed,RWD,2015,4.5
Volvo,Passat,Petrol,1.5L,123,355,3.5,117201,Diesel,7,882,Dual Clutch,FWD,2017,5.6
BYD,Q7,Hybrid,100 kWh,1088,335,8.9,225171,Petrol,5,406,Single Speed,AWD,2023,16.1
Land Rover,Model X,Diesel,3.0L,853,291,5.2,224496,Hybrid,4,107,Automatic,AWD,2019,15.2
BMW,Mustang,Electric,3.0L,310,153,8.1,183410,Electric,5,1192,Single Speed,AWD,2020,3.8
Tesla,Sportage,Electric,1.5L,552,285,8.1,97494,Electric,2,674,Dual Clutch,FWD,2018,6.5
Renault,Elantra,Diesel,1.2L,1082,196,9.3,230859,Hybrid,4,1191,Automatic,AWD,2015,12.5
Chevrolet,Passat,Electric,2.0L,256,350,9.6,248853,Electric,2,1011,Manual,AWD,2019,8.5
Geely,Defender,Diesel,2.0L,725,349,7.4,143279,Diesel,2,1531,Automatic,AWD,2019,17.0
Tesla,Chiron,Electric,3.0L,331,156,5.6,96991,Petrol,5,617,Dual Clutch,RWD,2019,16.3
Mercedes,Ioniq 6,Hybrid,2.0L,1022,342,10.5,67132,Diesel,7,1242,Dual Clutch,AWD,2020,18.2
Lexus,Sportage,Petrol,82 kWh,560,238,5.4,270069,Hybrid,4,1154,Single Speed,RWD,2016,12.6
Suzuki,Leaf,Petrol,1.5L,500,348,7.3,174156,Petrol,5,582,Manual,AWD,2015,9.0
Renault,Focus,Hybrid,1.2L,308,268,6.3,167215,Hybrid,7,306,Dual Clutch,AWD,2016,13.3
Jaguar,Tiguan,Hybrid,82 kWh,373,391,10.6,106627,Hybrid,2,768,Dual Clutch,AWD,2024,4.5
Geely,E-Class,Diesel,1.5L,367,327,6.6,137772,Hybrid,4,678,Manual,RWD,2020,3.2
Land Rover,X5,Diesel,4.0L,145,353,6.2,244415,Diesel,2,486,Manual,AWD,2019,3.3
Toyota,Defender,Diesel,100 kWh,1068,350,9.1,156294,Petrol,2,511,Single Speed,FWD,2019,9.9
Chevrolet,Defender,Electric,3.0L,711,215,8.2,274013,Petrol,4,1493,Automatic,AWD,2020,6.9
Toyota,F-Type,Diesel,2.0L,896,287,3.5,31116,Petrol,7,1476,Manual,RWD,2024,5.7
Honda,Model X,Hybrid,4.0L,352,352,7.3,197124,Diesel,7,1459,Dual Clutch,RWD,2021,13.5
Mercedes,CX-5,Petrol,2.0L,660,248,9.5,66369,Electric,4,990,Manual,FWD,2023,19.9
BMW,Elantra,Electric,82 kWh,141,268,11.9,194889,Diesel,4,1005,Dual Clutch,FWD,2021,6.0
Nissan,Taycan,Diesel,1.2L,772,149,8.5,248982,Diesel,5,1412,Single Speed,FWD,2016,12.3
Volkswagen,Model X,Electric,1.2L,644,186,6.0,229275,Hybrid,5,1062,Automatic,RWD,2020,5.0
Geely,Model S,Electric,1.2L,1069,235,4.6,220383,Petrol,2,1064,Single Speed,AWD,2023,18.9
Ferrari,Model X,Diesel,2.0L,961,242,10.8,203874,Petrol,4,239,Manual,AWD,2021,8.0
Kia,Model X,Electric,4.0L,81,285,10.2,62632,Electric,7,399,Dual Clutch,FWD,2016,17.9
Chevrolet,Sportage,Petrol,1.2L,210,166,4.7,226284,Electric,2,1136,Manual,FWD,2017,7.8
Land Rover,Q7,Hybrid,4.0L,86,359,4.4,176848,Hybrid,2,763,Manual,AWD,2022,16.7
Tesla,Model X,Hybrid,2.0L,1156,157,9.3,206082,Petrol,2,1551,Manual,FWD,2023,6.6
Renault,Q7,Petrol,82 kWh,322,306,5.5,228807,Electric,2,924,Manual,AWD,2018,8.0
Suzuki,F-Type,Electric,4.0L,534,221,5.4,211523,Electric,7,499,Automatic,AWD,2023,6.3
Porsche,Defender,Diesel,82 kWh,445,211,3.9,194884,Petrol,2,1091,Dual Clutch,AWD,2016,7.5
Kia,Corolla,Electric,2.0L,1050,393,5.0,296039,Diesel,4,1232,Manual,AWD,2019,17.2
Audi,Model S,Petrol,2.0L,589,301,6.6,250892,Electric,5,1479,Dual Clutch,RWD,2016,13.9
Porsche,Mustang,Electric,3.0L,159,177,9.5,228408,Petrol,7,248,Automatic,AWD,2015,9.9
Volvo,Corolla,Hybrid,2.0L,789,340,5.7,257718,Electric,4,406,Dual Clutch,FWD,2019,19.5
BMW,Tiguan,Electric,2.0L,873,339,5.6,207879,Hybrid,4,1183,Dual Clutch,FWD,2016,10.9
Mercedes,Taycan,Petrol,1.5L,865,394,5.2,38086,Electric,4,534,Automatic,FWD,2021,19.5
Lexus,E-Class,Hybrid,1.2L,699,318,7.0,100637,Petrol,5,120,Manual,FWD,2022,6.3
Ferrari,Model S,Electric,3.0L,145,174,4.2,173279,Electric,5,974,Dual Clutch,RWD,2016,18.4
Lexus,CX-5,Electric,100 kWh,995,221,7.1,166969,Hybrid,5,481,Single Speed,AWD,2021,3.2
Mazda,i8,Hybrid,3.0L,469,359,9.2,78083,Hybrid,4,344,Dual Clutch,AWD,2018,12.3
Peugeot,Focus,Diesel,3.0L,1039,297,2.8,110028,Electric,5,1196,Manual,FWD,2015,10.2
Land Rover,Leaf,Hybrid,100 kWh,1164,143,2.6,112551,Electric,2,1572,Single Speed,FWD,2017,11.9
Jaguar,Elantra,Diesel,1.5L,866,306,3.2,153355,Hybrid,5,1199,Manual,FWD,2015,12.4
Toyota,Passat,Petrol,82 kWh,264,343,7.6,109024,Hybrid,7,797,Dual Clutch,AWD,2019,9.6
Toyota,Civic,Petrol,2.0L,297,333,10.6,277399,Diesel,4,689,Automatic,RWD,2022,20.0
Land Rover,Mustang,Hybrid,1.2L,530,374,2.5,222627,Diesel,4,489,Manual,RWD,2015,19.6
Geely,Sportage,Hybrid,4.0L,687,345,11.4,30487,Hybrid,2,1465,Manual,RWD,2023,19.3
Peugeot,Mustang,Petrol,100 kWh,1114,289,3.5,34346,Electric,5,1413,Automatic,RWD,2017,19.6
Geely,Sportage,Diesel,82 kWh,133,298,10.5,285888,Petrol,5,667,Dual Clutch,FWD,2019,16.5
Geely,Corolla,Petrol,100 kWh,234,305,7.1,76596,Electric,7,1454,Manual,AWD,2023,19.8
Honda,Sportage,Hybrid,2.0L,96,207,8.8,229469,Electric,2,358,Dual Clutch,FWD,2019,18.2
Volvo,Taycan,Petrol,1.5L,1081,227,7.4,192175,Diesel,7,525,Dual Clutch,RWD,2023,10.1
Chevrolet,Focus,Hybrid,100 kWh,354,356,7.0,168048,Diesel,7,1129,Dual Clutch,FWD,2024,16.3
Ford,Elantra,Hybrid,2.0L,350,140,10.4,21277,Diesel,4,105,Automatic,RWD,2022,18.5
Jaguar,Elantra,Petrol,2.0L,907,274,9.7,148332,Hybrid,4,290,Dual Clutch,AWD,2021,15.1
Geely,Taycan,Diesel,1.5L,900,324,7.1,255515,Hybrid,5,247,Dual Clutch,RWD,2015,10.2
Volkswagen,F-Type,Electric,3.0L,987,279,3.6,275577,Electric,5,504,Single Speed,FWD,2018,4.1
Hyundai,E-Class,Petrol,3.0L,293,245,3.6,211955,Electric,7,357,Single Speed,AWD,2023,16.8
BMW,Corolla,Electric,1.2L,853,272,10.1,255464,Petrol,5,829,Single Speed,RWD,2024,19.2
Mercedes,Passat,Petrol,1.2L,1034,247,7.5,273445,Electric,7,189,Manual,RWD,2022,9.2
BYD,F-Type,Electric,3.0L,1019,317,7.1,284013,Electric,5,923,Manual,AWD,2018,5.6
Mazda,X5,Diesel,82 kWh,1123,285,9.0,109515,Diesel,5,109,Single Speed,FWD,2015,8.6
Mazda,Camry,Diesel,4.0L,114,213,10.7,165494,Diesel,4,1210,Automatic,AWD,2024,12.9
Hyundai,Mustang,Petrol,2.0L,540,247,8.5,181685,Diesel,4,937,Automatic,FWD,2018,8.4
Kia,Defender,Hybrid,4.0L,103,261,9.7,203088,Diesel,4,1274,Single Speed,RWD,2017,13.4
Audi,Civic,Electric,2.0L,722,156,9.8,75110,Diesel,4,1087,Manual,RWD,2020,19.4
Ford,Sportage,Hybrid,3.0L,899,335,5.9,234601,Petrol,2,724,Manual,AWD,2019,14.4
Porsche,CX-5,Hybrid,1.2L,290,391,5.1,223994,Petrol,4,129,Automatic,RWD,2019,9.2
Volvo,Tiguan,Hybrid,82 kWh,603,258,10.1,275705,Petrol,2,227,Dual Clutch,AWD,2016,18.9
Jaguar,Passat,Diesel,1.2L,761,301,6.1,27938,Diesel,4,1201,Automatic,RWD,2017,12.6
Tesla,Taycan,Petrol,4.0L,1001,337,11.1,145842,Hybrid,5,520,Dual Clutch,RWD,2020,5.2
Land Rover,Defender,Petrol,1.2L,910,184,3.2,279418,Diesel,7,1178,Manual,FWD,2016,11.5
Mercedes,Focus,Diesel,3.0L,1080,318,3.1,165033,Diesel,5,404,Manual,AWD,2018,14.1
Volvo,i8,Diesel,82 kWh,651,183,11.3,35044,Petrol,5,645,Single Speed,AWD,2016,17.3
Ferrari,Focus,Petrol,4.0L,308,217,8.7,114372,Diesel,2,1228,Manual,RWD,2023,18.9
Porsche,Q7,Hybrid,82 kWh,510,317,6.1,291850,Petrol,4,1295,Dual Clutch,FWD,2017,8.4
Renault,Q7,Electric,2.0L,217,142,9.7,152046,Diesel,7,121,Automatic,FWD,2024,5.6
Chevrolet,Chiron,Electric,1.2L,1102,353,8.9,36213,Electric,7,1410,Single Speed,AWD,2024,4.3
Peugeot,Chiron,Electric,82 kWh,457,213,7.5,16950,Hybrid,4,490,Dual Clutch,AWD,2020,15.6
Honda,i8,Hybrid,1.5L,1143,190,3.4,269043,Hybrid,2,716,Automatic,RWD,2015,16.5
Suzuki,Tiguan,Petrol,1.2L,985,206,10.2,231085,Petrol,2,248,Automatic,AWD,2024,10.0
Peugeot,Camry,Diesel,2.0L,707,232,10.7,287555,Electric,2,1395,Automatic,RWD,2017,9.7
Land Rover,Q7,Petrol,82 kWh,347,315,4.1,163843,Hybrid,7,398,Manual,FWD,2022,19.2
Hyundai,Elantra,Hybrid,4.0L,1058,284,10.6,263966,Petrol,2,271,Automatic,AWD,2019,18.6
BYD,i8,Diesel,2.0L,658,146,10.8,153117,Diesel,2,146,Manual,FWD,2022,7.0
Land Rover,RX 500h,Hybrid,1.5L,718,143,7.7,44714,Diesel,7,725,Automatic,FWD,2016,16.3
Nissan,i8,Electric,82 kWh,687,277,8.7,180458,Electric,7,306,Automatic,RWD,2021,13.6
Mazda,Chiron,Electric,100 kWh,204,370,6.1,285706,Hybrid,5,552,Manual,FWD,2023,5.6
BYD,Focus,Hybrid,100 kWh,649,227,5.2,27026,Diesel,7,1518,Manual,RWD,2021,9.1
BMW,Taycan,Diesel,3.0L,559,156,9.4,121147,Petrol,4,1024,Dual Clutch,RWD,2017,6.0
BMW,Mustang,Diesel,1.2L,547,191,10.7,46589,Diesel,7,853,Automatic,FWD,2021,8.0
Jaguar,Taycan,Petrol,4.0L,453,273,8.7,123199,Diesel,7,1424,Manual,FWD,2022,13.5
Toyota,Chiron,Electric,3.0L,232,350,7.4,223574,Hybrid,2,807,Dual Clutch,RWD,2015,9.4
Geely,Defender,Petrol,82 kWh,510,358,4.0,229340,Hybrid,5,1108,Dual Clutch,RWD,2017,9.7
Ferrari,A6,Petrol,100 kWh,484,344,3.0,69708,Petrol,2,775,Manual,FWD,2019,12.2
Mercedes,Ioniq 6,Hybrid,100 kWh,357,350,6.7,85825,Electric,5,1299,Automatic,RWD,2020,4.5
Porsche,Sportage,Hybrid,100 kWh,256,163,3.0,66574,Electric,2,954,Dual Clutch,RWD,2017,15.6
BYD,Civic,Petrol,82 kWh,199,143,7.9,247409,Diesel,4,882,Automatic,AWD,2018,9.8
BMW,CX-5,Electric,100 kWh,263,291,6.1,201381,Petrol,2,1233,Automatic,AWD,2019,11.2
Ferrari,Chiron,Hybrid,2.0L,385,398,9.7,79230,Electric,2,783,Dual Clutch,AWD,2017,19.6
Kia,Civic,Petrol,82 kWh,213,307,5.4,269451,Electric,4,1062,Manual,AWD,2018,8.9
Hyundai,Defender,Petrol,4.0L,85,315,8.1,262174,Diesel,4,963,Automatic,AWD,2019,14.0
Geely,E-Class,Petrol,3.0L,492,195,7.6,234700,Petrol,7,1325,Single Speed,RWD,2016,9.7
Land Rover,Model X,Petrol,4.0L,314,247,2.5,261514,Electric,2,267,Manual,RWD,2024,18.2
Tesla,Corolla,Petrol,1.5L,996,280,3.2,279491,Hybrid,4,185,Dual Clutch,AWD,2023,17.4
Mazda,Focus,Petrol,100 kWh,1181,294,5.3,241094,Hybrid,4,948,Single Speed,FWD,2024,7.1
Ferrari,Leaf,Hybrid,1.5L,198,371,10.9,163182,Diesel,7,1174,Automatic,AWD,2022,14.8
Peugeot,RX 500h,Electric,1.2L,976,380,3.9,208242,Diesel,5,1235,Manual,FWD,2020,4.1
Hyundai,Ioniq 6,Petrol,1.2L,956,397,9.3,197873,Diesel,4,1586,Single Speed,RWD,2024,19.4
Geely,F-Type,Diesel,1.5L,410,388,11.7,139926,Diesel,4,541,Manual,FWD,2017,8.9
Lexus,A6,Hybrid,82 kWh,73,216,10.0,96147,Electric,2,370,Automatic,RWD,2016,17.1
Hyundai,Camry,Hybrid,4.0L,375,319,4.8,34199,Petrol,7,443,Manual,FWD,2021,8.4
Jaguar,Focus,Petrol,1.5L,977,205,11.1,198208,Diesel,2,1306,Single Speed,RWD,2022,13.8
Honda,F-Type,Hybrid,1.2L,676,310,3.4,235868,Diesel,5,602,Manual,RWD,2024,19.7
Lexus,Ioniq 6,Petrol,1.5L,1061,161,6.9,135787,Electric,7,1133,Dual Clutch,AWD,2015,17.9
Volvo,Taycan,Electric,82 kWh,390,246,10.9,129427,Diesel,2,593,Dual Clutch,RWD,2020,5.7
Hyundai,Leaf,Electric,1.5L,628,366,8.6,163063,Diesel,4,1357,Single Speed,AWD,2021,12.3
Mazda,Chiron,Hybrid,4.0L,687,355,6.4,168625,Petrol,4,1421,Manual,AWD,2023,8.9
Ferrari,Sportage,Hybrid,3.0L,780,208,5.3,235782,Hybrid,7,343,Single Speed,AWD,2017,10.4
Ferrari,Camry,Diesel,82 kWh,600,223,6.1,102493,Diesel,4,1474,Manual,FWD,2016,8.7
BYD,RX 500h,Hybrid,1.2L,479,242,7.3,289915,Electric,2,366,Automatic,FWD,2019,8.7
Kia,Model S,Diesel,4.0L,887,178,5.5,140607,Petrol,7,992,Dual Clutch,RWD,2024,12.2
Audi,Camry,Electric,1.5L,562,152,11.7,261834,Electric,4,300,Automatic,AWD,2015,6.3
BMW,Model S,Electric,1.5L,81,320,11.4,94876,Petrol,4,338,Manual,AWD,2020,12.1
